"Alabama","01000","AL"
"Alaska","02000","AK"
"Arizona","04000","AZ"
"Arkansas","05000","AR"
"California","06000","CA"
"Colorado","08000","CO"
"Connecticut","09000","CT"
"Delaware","10000","DE"
"District of Columbia","11000","DC"
"Florida","12000","FL"
"Georgia","13000","GA"
"Hawaii","15000","HI"
"Idaho","16000","ID"
"Illinois","17000","IL"
"Indiana","18000","IN"
"Iowa","19000","IA"
"Kansas","20000","KS"
"Kentucky","21000","KY"
"Louisiana","22000","LA"
"Maine","23000","ME"
"Maryland","24000","MD"
"Massachusetts","25000","MA"
"Michigan","26000","MI"
"Minnesota","27000","MN"
"Mississippi","28000","MS"
"Missouri","29000","MO"
"Montana","30000","MT"
"Nebraska","31000","NE"
"Nevada","32000","NV"
"New Hampshire","33000","NH"
"New Jersey","34000","NJ"
"New Mexico","35000","NM"
"New York","36000","NY"
"North Carolina","37000","NC"
"North Dakota","38000","ND"
"Ohio","39000","OH"
"Oklahoma","40000","OK"
"Oregon","41000","OR"
"Pennsylvania","42000","PA"
"Puerto Rico","72000","PR"
"Rhode Island","44000","RI"
"South Carolina","45000","SC"
"South Dakota","46000","SD"
"Tennessee","47000","TN"
"Texas","48000","TX"
"Utah","49000","UT"
"Vermont","50000","VT"
"Virginia","51000","VA"
"Washington","53000","WA"
"West Virginia","54000","WV"
"Wisconsin","55000","WI"
"Wyoming","56000","WY"
